name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Sema,WAT,MID,4.8,NotAvail,0,0,0,0.0,0.0
Capoue,WAT,MID,4.8,Available,802,21,1,2.3,0.3
Chalobah,WAT,MID,4.4,Available,247,7,0,1.4,0.2
Quina,WAT,MID,4.4,Available,4,1,0,1.0,0.1
Dawson,WAT,DEF,4.8,Injured,1068,20,0,1.5,0.2
Welbeck,WAT,FWD,5.8,Injured,208,7,0,1.4,0.1
Gomes,WAT,GKP,4.4,Available,0,0,0,0.0,0.2
Sarr,WAT,MID,6.2,Available,279,14,0,2.0,0.1
Foulquier,WAT,DEF,4.0,Available,57,1,0,0.3,0.2
Dele-Bashiru,WAT,MID,4.5,Available,0,0,0,0.0,0.0
Cresswell,WHU,DEF,4.7,Available,803,41,5,4.6,1.3
Ogbonna,WHU,DEF,4.5,Available,900,36,0,3.6,0.4
Masuaku,WHU,DEF,4.4,Available,433,20,3,3.3,0.6
Zabaleta,WHU,DEF,4.3,Available,198,6,0,1.2,0.5
Fredericks,WHU,DEF,4.5,Available,1087,35,2,2.7,0.8
Diop,WHU,DEF,4.5,Available,1143,27,2,2.1,3.1
Balbuena,WHU,DEF,4.3,Available,451,16,1,2.7,0.3
Reid,WHU,DEF,3.9,Available,0,0,0,0.0,4.1
Johnson,WHU,DEF,4.0,Available,0,0,0,0.0,1.4
Arnautovic,WHU,FWD,7.0,NotAvail,0,0,0,0.0,0.1
Chicharito,WHU,FWD,6.0,NotAvail,106,9,2,4.5,0.4
Xande Silva,WHU,FWD,4.4,Injured,0,0,0,0.0,1.0
Fabianski,WHU,GKP,4.9,Injured,573,32,4,4.6,2.3
Antonio,WHU,MID,6.9,Doubtful,245,15,0,3.0,0.7
Felipe Anderson,WHU,MID,6.7,Available,916,36,0,2.8,3.3
Lanzini,WHU,MID,6.2,Injured,730,32,3,2.9,0.9
Yarmolenko,WHU,MID,5.8,Available,777,47,8,3.6,3.0
Snodgrass,WHU,MID,5.2,Available,589,31,4,3.4,0.4
Wilshere,WHU,MID,4.7,Injured,174,6,0,1.0,0.2
Rice,WHU,MID,4.8,Available,1260,30,0,2.1,1.5
Noble,WHU,MID,5.0,Available,912,37,2,3.1,0.6
Carlos Sánchez,WHU,MID,4.4,Available,40,4,0,1.0,0.3
Diangana,WHU,MID,4.4,NotAvail,0,0,0,0.0,0.1
Fornals,WHU,MID,6.0,Available,594,23,0,1.8,0.3
Obiang,WHU,MID,4.5,NotAvail,0,0,0,0.0,0.0
Roberto,WHU,GKP,4.4,Available,596,17,1,2.4,0.7
Haller,WHU,FWD,7.1,Available,1094,51,5,3.9,2.9
Ajeti,WHU,FWD,5.8,Available,91,4,0,1.0,0.0
Martin,WHU,GKP,4.0,Available,90,10,2,10.0,0.4
Doherty,WOL,DEF,6.0,Available,831,43,3,3.3,3.2
Jonny,WOL,DEF,5.4,Available,1033,34,0,2.6,1.0
Coady,WOL,DEF,5.0,Available,1204,35,1,2.5,1.5
Bennett,WOL,DEF,4.9,Available,458,17,0,2.4,0.3
Boly,WOL,DEF,4.8,Injured,720,34,7,4.2,2.8
Vinagre,WOL,DEF,4.3,Available,189,9,0,1.8,0.2
Saïss,WOL,DEF,4.4,Available,691,20,1,2.0,0.4
Kilman,WOL,DEF,4.0,Available,34,1,0,1.0,2.2
Jiménez,WOL,FWD,7.7,Available,1156,69,14,4.9,22.1
Jota,WOL,FWD,6.1,Available,843,29,3,2.4,3.1
Patrício,WOL,GKP,5.2,Available,1204,52,4,3.7,11.9
Ruddy,WOL,GKP,4.4,Available,0,0,0,0.0,0.4
Norris,WOL,GKP,4.0,NotAvail,0,0,0,0.0,0.6
Neves,WOL,MID,5.3,Available,993,37,4,2.6,5.6
Moutinho,WOL,MID,5.3,Available,1113,47,7,3.4,4.7
Gibbs-White,WOL,MID,4.7,Doubtful,119,7,0,2.3,0.1
Traoré,WOL,MID,5.2,Available,954,49,6,3.8,4.9
Costa,WOL,MID,4.9,NotAvail,0,0,0,0.0,0.0
Cavaleiro,WOL,MID,4.9,NotAvail,0,0,0,0.0,0.0
Dendoncker,WOL,MID,4.4,Available,1074,25,0,1.8,9.5
Vallejo,WOL,DEF,4.7,Available,162,1,0,0.5,0.3
Cutrone,WOL,FWD,5.6,Available,280,16,0,1.8,0.6
Neto,WOL,MID,5.0,Available,142,10,0,1.2,0.0
Ashley-Seal,WOL,FWD,4.5,Available,0,0,0,0.0,0.0
Perry,WOL,MID,4.5,Available,0,0,0,0.0,0.0
